Date,Date,Open,High,Low,Close,Adj Close,Volume
16-03-2016,42445,1157.5,1166,1153.449951,1163.530029,1052.674072,1918246
17-03-2016,42446,1167,1180.900024,1166,1176.030029,1063.983154,2221088
18-03-2016,42447,1180,1215,1180,1212.930054,1097.367432,3204070
21-03-2016,42450,1213,1227.469971,1210,1223.119995,1106.58667,2336982
22-03-2016,42451,1221,1242.5,1218.25,1236.550049,1118.737061,1951984
23-03-2016,42452,1243.949951,1243.949951,1228.650024,1236.900024,1119.053833,2278434
28-03-2016,42457,1245.5,1258.569946,1230.780029,1236.699951,1118.872803,3320882
29-03-2016,42458,1239,1243.469971,1227.5,1234.699951,1117.06311,1838796
30-03-2016,42459,1235.449951,1252.5,1230,1244.75,1126.155762,2136504
31-03-2016,42460,1239.150024,1275,1236.069946,1260.150024,1140.088379,4363964
01-04-2016,42461,1252.5,1260.430054,1217.050049,1226.949951,1110.051514,3041400
04-04-2016,42464,1228,1244,1223.5,1235.619995,1117.895752,1752352
05-04-2016,42465,1235.400024,1242.449951,1221.030029,1231.380005,1114.05957,1491794
06-04-2016,42466,1235,1244.5,1229.680054,1240.949951,1122.717651,1763150
07-04-2016,42467,1240,1242.349976,1228.5,1235.400024,1117.696655,2390942
08-04-2016,42468,1233,1236.849976,1213.5,1216.030029,1100.171997,1399500
11-04-2016,42471,1216.5,1258.5,1206.5,1253.319946,1133.90918,2400648
12-04-2016,42472,1249,1262.5,1244.050049,1259.069946,1139.111328,1303628
13-04-2016,42473,1265,1272.5,1256.25,1263.099976,1142.757324,1601468
18-04-2016,42478,1226.5,1276.75,1220,1259.880005,1139.844238,7121504
20-04-2016,42480,1267.449951,1267.449951,1220,1225.180054,1108.450439,6405024
21-04-2016,42481,1225.5,1233.699951,1206.099976,1212.199951,1096.706787,2525724
22-04-2016,42482,1209.5,1217.699951,1202.099976,1208.530029,1093.386597,1964126
25-04-2016,42485,1201.150024,1228.530029,1201.150024,1225.619995,1108.848145,2267654
26-04-2016,42486,1224.5,1246.75,1221,1244.900024,1126.291382,2554368
27-04-2016,42487,1240,1257.300049,1237.949951,1255.550049,1135.927002,1848670
28-04-2016,42488,1250.650024,1270,1249.050049,1263.880005,1143.463135,4992744
29-04-2016,42489,1258.5,1271,1255,1267.75,1146.964233,2372178
02-05-2016,42492,1264.5,1265,1250,1263.349976,1142.983765,1116692
03-05-2016,42493,1262.5,1265,1236,1239.050049,1120.998901,2153118
